"city";"country";"nbArtists";"latitude";"longitude"
"huntington";"united states";"1";"38.79234";"-77.07081"
"marseille";"france";"1";"43.29695";"5.38107"
"orangeburg";"united states";"1";"41.04649";"-73.94958"
"cedar grove";"united states";"1";"30.17103";"-85.6252"
"bogalusa";"united states";"1";"30.79102";"-89.84869"
"cobham";"united kingdom";"1";"51.32997";"-0.4113"
"colfax";"united states";"1";"40.56698";"-88.61645"
"perpignan";"france";"1";"42.69764";"2.89541"
"folkestone";"united kingdom";"1";"51.08169";"1.16734"
"barnet";"united kingdom";"1";"51.65";"-0.2"
"rockingham";"united states";"1";"43.18758";"-72.48898"
"hemmoor";"germany";"1";"53.68702";"9.15492"
"rocky mount";"united states";"1";"36.99764";"-79.89198"
"villa rica";"united states";"1";"33.73205";"-84.91911"
"ditzingen";"germany";"1";"48.82672";"9.06703"
"münsingen";"germany";"1";"48.41126";"9.49704"
"vantaa";"finland";"1";"60.29414";"25.04099"
"coral gables";"united states";"1";"25.72149";"-80.26838"
"wheeling";"united states";"1";"42.13919";"-87.92896"
"fresno";"united states";"1";"36.74773";"-119.77237"
"sulkava";"finland";"1";"61.78691";"28.37299"
"chennai";"india";"1";"13.08784";"80.27847"
"groveton";"united states";"1";"44.59867";"-71.5112"
"visalia";"united states";"1";"36.33023";"-119.29206"
"pontypridd";"united kingdom";"1";"51.6021";"-3.34211"
"chichester";"united kingdom";"1";"50.83673";"-0.78003"
"irará";"brazil";"1";"-12.05";"-38.76667"
"durant";"united states";"1";"33.99399";"-96.37082"
"roosevelt";"united states";"1";"40.2994";"-109.98876"
"toledo";"united states";"1";"41.66394";"-83.55521"
"newport";"united states";"1";"47.57121";"-122.18068"
"tabor city";"united states";"1";"34.14878";"-78.87669"
"virrat";"finland";"1";"62.24759";"23.78004"
"south orange";"united states";"1";"40.74899";"-74.26126"
"barstow";"united states";"1";"34.89859";"-117.02282"
"weida";"germany";"1";"50.77449";"12.06028"
"brawley";"united states";"1";"32.97866";"-115.53027"
"carle place";"united states";"1";"40.7526";"-73.61041"
"fort lauderdale";"united states";"1";"26.12231";"-80.14338"
"kingsport";"united states";"1";"36.54843";"-82.56182"
"saint john";"canada";"1";"45.27076";"-66.05616"
"goshen";"united states";"1";"36.35106";"-119.42012"
"cambridge bay";"canada";"1";"69.11489";"-105.05484"
"montrouge";"france";"1";"48.8162";"2.31393"
"guildford";"united kingdom";"1";"51.23536";"-0.57427"
"wednesbury";"united kingdom";"1";"52.5514";"-2.02355"
"hadano";"japan";"1";"35.37111";"139.22361"
"vance";"united states";"1";"33.17428";"-87.23361"
"kolari";"finland";"1";"67.33047";"23.77785"
"aledo";"united states";"1";"32.69596";"-97.60225"
"obertshausen";"germany";"1";"50.07139";"8.85123"
"hornsey";"united kingdom";"1";"51.58752";"-0.12204"
"linden";"united states";"1";"33.01235";"-94.36547"
"saitama";"japan";"1";"35.90807";"139.65657"
"bushey";"united kingdom";"1";"51.64316";"-0.36053"
"norwich";"united kingdom";"1";"52.62783";"1.29834"
